kategori_obat,obat,Description,Dosis ,Efek Samping,Cara_Penyimpanan
"Obat Gangguan Tulang, Otot dan Sendi",Phardex,Phardex digunakan untuk mengatasi kejang otot yang berkaitan dengan kelainan tulang belakang statis dan fungsional.,Simpan pada suhu 25°C.,Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Phardex ke dalam Kategori C:,Efek Samping yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Permyo,Permyo diindikasikan untuk kejang otot.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan Permyo pada ibu menyusui.,Efek samping mungkin timbul diantaranya:
"Obat Gangguan Tulang, Otot dan Sendi",Perilax,Perilax diindikasikan untuk pengobatan simtomatik kejang otot.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan pada pasien dengan kondisi:,Efek samping yang mungkin akan timbul adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Pehacort,Pehacort digunakan untuk antialergi dan mengurangi peradanganan seperti pada penyakit artritis (peradangan sendi).,Cara Penyimpanan,"Efek samping yang mungkin terjadi selama penggunaan Pehacort, antara lain:",Simpan pada suhu antara 15-30°C. Lindungi dari cahaya dan kelembaban.
"Obat Gangguan Tulang, Otot dan Sendi",Osvion Plus,Ovision Plus merupakan obat yang digunakan untuk menjaga kesehatan sendi.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan pada pasien dengan kondisi:,Belum ada efek samping yang dilaporkan.
"Obat Gangguan Tulang, Otot dan Sendi",Ostriol,Ostriol digunakan untuk mengobati osteoporosis (kerapuhan tulang) pada monopause (berhentinya siklus menstruasi) dan kekurangan vitamin D.,Efek samping penggunaan Ostriol yang mungkin terjadi adalah:,Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Ostriol ke dalam Kategori C:,Hindari penggunaan Ostriol bersamaan dengan obat-obat berikut:
"Obat Gangguan Tulang, Otot dan Sendi",Ostovel,Ostovel dapat digunakan untuk membantu mengontrol hormon paratiroid dan kadar mineral.,"Ostovel dapat diminum sesudah makan untuk mengurangi rasa tidak nyaman pada gastrointestinal (saluran cerna). Jika tidak sengaja lupa meminum Ostovel Kapsul, disarankan untuk segera meminumnya begitu teringat jika jadwal dosis berikutnya tidak terlalu dekat. Jangan mengganti dosis yang terlewat dengan menggandakan dosis pada jadwal berikutnya.",Efek samping yang mungkin terjadi selama penggunaan Ostovel antara lain:,"Simpan pada suhu 20-25°C, lindungi dari cahaya."
"Obat Gangguan Tulang, Otot dan Sendi",Osteotin,Osteotin merupakan sediaan obat dalam bentuk kapsul yang diproduksi oleh Pt Phapros.,Simpan pada suhu dibawah 30 derajat Celcius.,"Tidak boleh digunakan oleh pasien yang telah diketahui memiliki alergi terhadap kandungan obat Osteotin, dan alergi ikan laut atau makanan laut (seafood).","Belum ada efek samping yang diketahui, namun gunakan obat sesuai dengan dosis yang ditentukan."
"Obat Gangguan Tulang, Otot dan Sendi",Osteor C,"Osteor C digunakan untuk meredakan nyeri pada sendi dan nyeri punggung, serta membantu meredakan pembengkakan dan peradangan sendi.","Oleskan Osteor C secukupnya pada area sendi yang sakit, untuk hasil yang optimal sebaiknya digunakan setiap hari selama 2 minggu.",Efek samping penggunaan Osteor C yang mungkin terjadi adalah:,Simpan pada suhu antara 20-25 derajat Celcius.
"Obat Gangguan Tulang, Otot dan Sendi",Osteopor,Osteopor merupakan obat yang digunakan untuk menjaga fungsi tulang dan mengurangi gejala menopause.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan pada pasien yang memiliki riwayat hipersensitif terhadap salah satu komposisi dari Osteopor.,"Efek samping yang mungkin terjadi, antara lain:"
"Obat Gangguan Tulang, Otot dan Sendi",Osteonate,Osteonate digunakan sebagai pengobatan dan pencegahan osteoporosis pada wanita pasca-menopause dan meningkatkan massa tulang.,Simpan pada suhu antara 20-25 derajat Celcius.,Hindari penggunaan pada pasien dengan kondisi:,"Efek samping yang mungkin terjadi, antara lain:"
"Obat Gangguan Tulang, Otot dan Sendi",Osteokom,"Osteokom untuk mengatasi rasa nyeri akibat peradangan sendi, memacu pembentukan rawan sendi dan produksi cairan sendi.",Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan Osteokom pada pasien yang memiliki hipersensitif terhadap salah satu komposisi dari Osteokom.,Belum ada efek samping yang dilaporkan
"Obat Gangguan Tulang, Otot dan Sendi",Osteofar,"Osteofar merupakan sediaan obat  digunakan untuk mencegah perapuhan tulang (osteoporosis), pencegahan osteopororsis pada wanita monepause","Efek samping yang mungkin terjadi, antara lain:",Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Osteofar ke dalam Kategori C:,Hindari penggunaan pada pasien dengan kondisi:
"Obat Gangguan Tulang, Otot dan Sendi",Ossoral,"Ossoral digunakan untuk mengatasi osteoporosis primer pada lansia sebelum dan pasca menopause; osteoporosis sekunder, rheumatoid arthritis.",Ossoral ditoleransi dengan baik; tidak ada efek samping spesifik yang dilaporkan.,"Penyerapan zat besi dan tetrasiklin dapat berkurang jika digunakan bersamaan dengan Ossoral karena kombinasi ini akan membentuk kelat yang kurang terserap. Dalam hal ini, Ossoral harus diberikan 4 jam setelah pemberian zat besi atau tetrasiklin.",Hindari penggunaan Ossoral pada pasien dengan kondisi:
"Obat Gangguan Tulang, Otot dan Sendi",Ossopan 800,Ossopan 800 digunakan sebagai suplemen untuk memenuhi kebutuhan mineral pada masa kehamilan dan menyusui.,Simpan pada suhu dibawah 30 derajat Celcius.,Tidak boleh diberikan pada asien yang memiliki riwayat hipersensitif terhadap salah satu komposisi dari Ossopan 800.,Belum ada efek samping yang dilaporkan.
"Obat Gangguan Tulang, Otot dan Sendi",Osmetin Zuper,Osmetin Zuper digunakan untuk menjaga kesehatan sendi.,Simpan pada suhu dibawah 30 derajat Celcius.,Tidak boleh diberikan pada asien yang memiliki riwayat hipersensitif terhadap salah satu komposisi dari Osmetin Zuper.,Belum ada efek samping yang dilaporkan.
"Obat Gangguan Tulang, Otot dan Sendi",Ositin,Ositin merupakan sediaan obat digunakan untuk membantu menjaga dan memelihara kesehatan fungsi sendi.,Simpan pada suhu dibawah 30 derajat Celcius.,Tidak boleh digunakan oleh pasien yang telah diketahui memiliki alergi terhadap kandungan obat Ositin.,"Belum ada efek samping yang diketahui, namun gunakan obat sesuai dengan dosis yang ditentukan."
"Obat Gangguan Tulang, Otot dan Sendi",Osflex,"Osflex merupakan obat yang digunakan untuk mengobati nyeri lutut, periartritis pada bahu pada penderita osteoartritis",Efek samping yang mungkin terjadi pada Osflex adalah:,Tidak direkomendasikan untuk digunakan pada ibu menyusui.,Hindari penggunaan pada pasien dengan kondisi:
"Obat Gangguan Tulang, Otot dan Sendi",Oscal,"Oscal merupakan obat yang digunakan untuk mencegah kerapuhan tulang setelah menopause, serta untuk penderita kelebihan kelenjar paratiroid.",Simpan pada suhu di bawah 30 derajat Celcius.,Hindari penggunaan Oscal pada pasien yang memiliki indikasi:,"Efek samping yang mungkin terjadi selama pengunaan Oscal, yaitu:"
"Obat Gangguan Tulang, Otot dan Sendi",Omeric,Omeric mengandung Allopurinol digunakan sebagai terapi pengobatan asam urat,Efek samping yang mungkin terjadi adalah:,Hindari penggunaan Omeric pada pasien yang memiliki indikasi:,"Penggunaan Allopurinol yang melebihi dosis dapat menimbulkan gejala mual, muntah, diare, pusing."
"Obat Gangguan Tulang, Otot dan Sendi",Oa Plus,"OA Plus adalah sediaan suplemen yang digunakan untuk membantu menjaga kesehatan sendi, dan untuk penderita osteoarthritis.","Efek samping yang mungkin terjadi selama pengunaan OA Plus, antara lain:",OA Plus tidak boleh diberikan bersamaan dengan warfarin kareba dapat meningkatkan INR efek suatu antikoagulan terhadap prothrombin time.,Hindari penggunaan pada pasien yang memiliki riwayat alergi kerang karena glucosamin terbuat dari cangkang kerang.
"Obat Gangguan Tulang, Otot dan Sendi",Oa Forte,"OA Forte adalah sediaan suplemen yang digunakan untuk membantu memelihara kesehatan sendi, peradangan sendi","Efek samping yang mungkin terjadi selama pengunaan OA Forte, antara lain:",Dapat meningkatkan efek antikoagulan warfarin.,Hindari penggunaan pada pasien yang hipersensitif (reaksi berlebih atau sangat sensitif) terhadap glukosamin dan kerang.
"Obat Gangguan Tulang, Otot dan Sendi",Novaxicam,Novaxicam adalah obat yang mengandung piroxicam digunakan untuk mengurangi rasa sakit akibat kekakuan sendi dan pembengkakan dari radang sendi. Obat ini tersedia dalam bentuk kapsul.,"Artikel lainnya: Waspada, Ini Deretan Penyebab Nyeri Sendi yang Mesti Kamu Ketahui",Tujuan: Mengurangi rasa sakit akibat kekakuan sendi dan pembengkakan dari penyakit arthritis,"Ingat ya, setiap pembeliannya harus menggunakan resep dokter. Berikut aturan dan dosis Novaxicam secara umum."
"Obat Gangguan Tulang, Otot dan Sendi",Nostren,Nostren merupakan produk obat dengan Sediaan Krim yang diproduksi oleh Meprofarm.,Simpan pada suhu dibawah 25 derajat Celcius.,Pasien yang memiliki riwayat hipersensitif terhadap salah satu komposisi dari Nostern,"Tidak ada efek samping pada Nostren Krim, apabila digunakan dalam batas takaran yang dianjurkan."
"Obat Gangguan Tulang, Otot dan Sendi",Nilapur,Nilapur digunakan untuk membantu mengobati hiperurisemia.,"Efek samping yang mungkin terjadi selama penggunaan Nilapur, antara lain ruam, reaksi hipersensitivitas, mual, muntah, asimtomatik peningkatan uji fungsi hati.",Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Nilapur:,Hindari penggunaan Nilapur pada pasien yang memiliki indikasi hipersensitif atau alergi terhadap Allopurinol.
"Obat Gangguan Tulang, Otot dan Sendi",Neostigmine,Neostigmine digunakan untuk mengobati gejala myasthenia gravis.,Efek samping penggunaan Neostigmine yang mungkin terjadi adalah:,"Quinine, chloroquine, hydroxychloroquine, quinidine, procainamide, propafenone, lithium.",Hindari pemberian pada pasien peritonitis (peradangan pada lapisan tipis dinding dalam perut).
"Obat Gangguan Tulang, Otot dan Sendi",Neo Rheumacyl Anti Inflamation,"Neo Rheumacyl Anti Inflamation digunakan untuk meredakan nyeri dan peradangan lokal, meredakan nyeri sendi.","Simpan ditempat sejuk dan kering, serta terhindar dari sinar matahari langsung.",Hindari penggunaan pada pasien yang hipersensitif.,Efek samping penggunaan Neo Rheumacyl Anti Inflamation yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Myori,Myori di gunakan untuk mengatasi kejang otot.,"Aturan minum: diberikan dosis 1 tablet, di minum 3 kalisehari, sesuaikan dosis berdasarkan usia dan gejala.",Efek samping penggunaan Myori yang mungkin terjadi adalah:,Simpan pada suhu dibawah 30 derajat Celcius.
"Obat Gangguan Tulang, Otot dan Sendi",Myores,Myores digunakan untuk mengatasi kejang otot yang berkaitan dengan kelainan tulang belakang statis dan fungsional.,Simpan pada suhu 25 derajat Celcius.,Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengkategorikan Myores ke dalam Kategori C:,Efek samping penggunaan Myores yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Myonep,"Tegang dan nyeri otot mengganggu keseharian Anda, mungkin Eprinoc dapat membantu mengatasinya. Apa sih kandungan dan manfaatnya?",Myonep adalah sediaan tablet yang mengandung eperison HCl. Obat ini diindikasikan untuk mengobati gejala dari kondisi yang berhubungan dengan kejang muskuloskeletal.,Berikut penjelasan lengkap seputar Myonep obat apa di sini.,"Obat ini bekerja secara terpusat dengan melemaskan otot rangka serta menghambat kekakuan otot dan melebarkan otot polos pembuluh darah, sekaligus dan menambah aliran darah."
"Obat Gangguan Tulang, Otot dan Sendi",Myonal,Myonal adalah obat yang diindikasikan sebagai terapi pada pasien dengan kondisi kejang muskuloskeletal. Bagaimana aturan pakai obat ini?,"Bila kamu diresepkan Myonal, tak ada salahnya kamu mengetahui informasi berikut.",Myonal tablet diindikasikan sebagai terapi pada pasien dengan kondisi kejang muskuloskeletal.,Artikel lainnya: Cara Alami Atasi Kram Otot saat Olahraga
"Obat Gangguan Tulang, Otot dan Sendi",Myobat,Myobat digunakan untuk pengobatan pereda gejala dari kondisi yang berhubungan dengan kejang muskuloskeletal.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan obat ini pada ibu menyusui.,Efek samping penggunaan Myobat yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Molakrim,"Molakrim digunakan untuk mengurangi nyeri punggung, sakit kepala karena kekakuan otot.",Oleskan Molakrim sebanyak 1-3 x sehari pada bagian tubuh yang sakit.,Efek samping penggunaan Molakrim yang mungkin terjadi adalah:,Simpan pada suhu dibawah 25 derajat Celcius.
"Obat Gangguan Tulang, Otot dan Sendi",Miacalcic,Miacalcic digunakan sebagai obat metabolisme tulang pada wanita pasca menopause.,Simpan pada suhu antara 2-8 derajat Celcius.,Hindari penggunaan Miacalcic pada pasien hipersensitive (alergi) terhadap komponen.,Efek samping penggunaan Miacalcic yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Methotrexate,"Methotrexate digunakan untuk mengobati penyakit trofoblas ganas, leukemia limfositik akut, leukemia meningeal, kanker payudara.",Efek samping penggunaan Methotrexate yang mungkin terjadi adalah:,Efektivitas menurun jika di berikan bersamaan dengan asam folat dan turunannya.,Hindari penggunaan pada pasien dengan kondisi:
"Obat Gangguan Tulang, Otot dan Sendi",Mestinon,"Mestinon digunakan untuk mengobati kelemahan otot (Miastenia gravis), kelumpuhan pada otot usus (leus paralitik).","Artikel Lainnya: Mengenal Gejala Lupus, Penyakit Seribu Wajah yang Harus Diwaspadai",1. Penyakit autoimun yang menyebabkan kelemahan otot (Myasthenia gravis),Mestinon merupakan golongan obat keras. Obat ini memerlukan resep dokter untuk pembelian serta penggunaannya.
"Obat Gangguan Tulang, Otot dan Sendi",Mesola,Mesola digunakan untuk meredakan gejala peradangan pada berbagai kondisi Apa kandungannya? Yuk simak info lengkapnya di sini.,"Mesola digunakan sebagai anti inflamasi pada beberapa penyakit, seperti:",Dosis Mesola bervariasi tergantung penyakit dan kondisi pasien. Konsultasikan pada dokter terlebih dahulu sebelum kamu menggunakan obat ini.,"Mesola merupakan obat keras, hanya bisa didapatkan dan digunakan dengan resep dokter."
"Obat Gangguan Tulang, Otot dan Sendi",Merzaluric,Merzaluric digunakan untuk membantu mengobati hiperurisemia.,"Efek samping yang mungkin timbul selama mengonsumsi Merzaluric adalah ruam, reaksi hipersensitivitas, mual, muntah, asimtomatik peningkatan uji fungsi hati.",FDA (Badan Pengawas Obat dan Makanan Amerika Serikat) mengategorikan obat yang mengandung Merzaluric ke dalam Kategori C:,Pasien yang Hipersensitif terhadap Allopurinol.
"Obat Gangguan Tulang, Otot dan Sendi",Mediuric,"Mediuric digunakan untuk membantu mengobati asam urat, hiperurisemia, batu ginjal yang baru terjadi.","Efek samping yang mungkin terjadi selama penggunaan Mediuric, antara lain: ruam, reaksi hipersensitivitas, mual, muntah, dan asimtomatik peningkatan uji fungsi hati.",Berikut adalah beberapa Interaksi obat yang umumnya terjadi saat penggunaan Mediuric:,Hindari penggunaan Mediuric pada pasien yang memiliki indikasi hipersensitif terhadap Allopurinol.
"Obat Gangguan Tulang, Otot dan Sendi",Mediflex,"Mediflex di gunakan untuk membantu mengurangi rasa nyeri, seperti: nyeri otot, sakit punggung, nyeri leher.",Simpan pada suhu dibawah 30 derajat Celcius.,Tidak boleh di berikan pada pasien yang memiliki riwayat hipersensitif terhadap glucosamine.,Efek samping penggunaan Mediflex yang mungkin terjadi adalah:
"Obat Gangguan Tulang, Otot dan Sendi",Maxitrin,Maxitrin digunakan untuk memelihara kesehatan fungsi persendian.,Simpan pada suhu dibawah 30 derajat Celcius.,Hindari penggunaan Maxitrin pada pasien yang memiliki indikasi:,Belum ada efek samping yang dilaporkan tentang Maxitrin Kapsul.
"Obat Gangguan Tulang, Otot dan Sendi",Loric,Loric diindikasikan sebagai terapi pengobatan asam urat dan mencegah pengendapan kalsium oksalat dan asam urat.,"Efek samping yang mungkin terjadi selama pengunaan Loric, yaitu:",Tidak boleh diberikan pada pasien dengan HLA-B * 58: 01-positif (gangguan membran epitel dan sel endotel).,Hindari penggunaan Loric pada pasien yang memiliki indikasi:
"Obat Gangguan Tulang, Otot dan Sendi",Lopuric,"Lopuric digunakan untuk mengobati asam urat, peningkatan kadar asam urat dalam darah, hiperurisemia yang diinduksi terapi kanker.",Efek samping penggunaan Lopuric yang mungkin terjadi adalah:,Badan Pengawas Obat dan Makanan Amerika Serikat (FDA) mengategorikan Lopuric ke dalam Kategori C:,Hindari penggunaan Lopuric pada pasien dengan kadar HLA-B * 58: 01-positif.
"Obat Gangguan Tulang, Otot dan Sendi",Licofel,Licofel digunakan untuk mengurangi rasa sakit akibat kekakuan sendi dan pembengkakan dari penyakit arthritis.,Efek samping yang mungkin terjadi adalah:,"Meningkatkan risiko perdarahan lambung terhadap obat antikoagulan, aspirin, clopidogrel, kortikosteroid, heparin, rivaroxaban, atau antidepresan penghambat pelepasan selektif serotonin (SSRI)","Takikardia (detak jantung meningkat), anoreksia (gangguan napsu makan), sakit perut, sembelit, diare, pencernaan yg terganggu, perut kembung, mulas, muntah, mulut kering, kerongkongan, anemia, peningkatan waktu perdarahan, gagal ginjal, pusing, sakit kepala, gelisah, kebingungan, depresi, kelainan mimpi, kantuk, insomnia."
